# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-06-05 17:12:19 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01102500 ABERJONA RIVER AT WINCHESTER, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01102500
#            TS   parameter     statistic     Description
#         64138       00060     00003     Discharge, cubic feet per second (Mean), MYSTIC VALLEY PARKWAY
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     <  Actual value is known to be less than reported value.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64138_00060_00003	64138_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01102500	2015-01-01	46.0	A
USGS	01102500	2015-01-02	45.0	A
USGS	01102500	2015-01-03	44.0	A
USGS	01102500	2015-01-04	158	A
USGS	01102500	2015-01-05	139	A
USGS	01102500	2015-01-06	86.0	A
USGS	01102500	2015-01-07	70.0	A
USGS	01102500	2015-01-08	57.0	A
USGS	01102500	2015-01-09	51.0	A
USGS	01102500	2015-01-10	47.0	A
USGS	01102500	2015-01-11	43.0	A
USGS	01102500	2015-01-12	45.0	A
USGS	01102500	2015-01-13	45.0	A
USGS	01102500	2015-01-14	39.0	A
USGS	01102500	2015-01-15	37.0	A
USGS	01102500	2015-01-16	36.0	A
USGS	01102500	2015-01-17	32.0	A
USGS	01102500	2015-01-18	37.0	A
USGS	01102500	2015-01-19	58.0	A
USGS	01102500	2015-01-20	42.0	A
USGS	01102500	2015-01-21	35.0	A
USGS	01102500	2015-01-22	32.0	A
USGS	01102500	2015-01-23	31.0	A
USGS	01102500	2015-01-24	34.0	A
USGS	01102500	2015-01-25	35.0	A
USGS	01102500	2015-01-26	30.0	A
USGS	01102500	2015-01-27	30.0	A
USGS	01102500	2015-01-28	30.0	A
USGS	01102500	2015-01-29	30.0	A
USGS	01102500	2015-01-30	30.0	A
USGS	01102500	2015-01-31	29.0	A
USGS	01102500	2015-02-01	26.0	A
USGS	01102500	2015-02-02	27.0	A
USGS	01102500	2015-02-03	29.0	A
USGS	01102500	2015-02-04	27.0	A
USGS	01102500	2015-02-05	27.0	A
USGS	01102500	2015-02-06	25.0	A
USGS	01102500	2015-02-07	23.0	A
USGS	01102500	2015-02-08	24.0	A
