# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-06-05 17:13:23 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01103025 ALEWIFE BROOK NEAR ARLINGTON, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01103025
#            TS   parameter     statistic     Description
#         64144       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64144_00060_00003	64144_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01103025	2015-01-01	10.1	A
USGS	01103025	2015-01-02	9.81	A
USGS	01103025	2015-01-03	9.64	A
USGS	01103025	2015-01-04	24.9	A
USGS	01103025	2015-01-05	22.6	A
USGS	01103025	2015-01-06	15.7	A
USGS	01103025	2015-01-07	12.2	A
USGS	01103025	2015-01-08	10.2	A
USGS	01103025	2015-01-09	11.2	A
USGS	01103025	2015-01-10	10.4	A
USGS	01103025	2015-01-11	9.74	A
USGS	01103025	2015-01-12	9.41	A
USGS	01103025	2015-01-13	10.5	A
USGS	01103025	2015-01-14	9.20	A
USGS	01103025	2015-01-15	8.51	A
USGS	01103025	2015-01-16	8.42	A
USGS	01103025	2015-01-17	7.80	A
USGS	01103025	2015-01-18	7.37	A
USGS	01103025	2015-01-19	10.2	A
USGS	01103025	2015-01-20	8.81	A
USGS	01103025	2015-01-21	8.07	A
USGS	01103025	2015-01-22	7.53	A
USGS	01103025	2015-01-23	7.35	A
USGS	01103025	2015-01-24	8.31	A
USGS	01103025	2015-01-25	8.68	A
USGS	01103025	2015-01-26	8.75	A
USGS	01103025	2015-01-27	8.12	A
USGS	01103025	2015-01-28	11.7	A
USGS	01103025	2015-01-29	10.7	A
USGS	01103025	2015-01-30	9.09	A
USGS	01103025	2015-01-31	8.26	A
USGS	01103025	2015-02-01	7.62	A
USGS	01103025	2015-02-02	7.33	A
USGS	01103025	2015-02-03	10.5	A
USGS	01103025	2015-02-04	10.3	A
USGS	01103025	2015-02-05	8.89	A
USGS	01103025	2015-02-06	7.81	A
USGS	01103025	2015-02-07	8.16	A
USGS	01103025	2015-02-08	7.85	A
USGS	01103025	2015-02-09	8.51	A
USGS	01103025	2015-02-10	9.31	A
USGS	01103025	2015-02-11	7.98	A
USGS	01103025	2015-02-12	7.75	A
USGS	01103025	2015-02-13	7.26	A
USGS	01103025	2015-02-14	7.33	A
USGS	01103025	2015-02-15	7.35	A
USGS	01103025	2015-02-16	7.66	A
USGS	01103025	2015-02-17	8.34	A
USGS	01103025	2015-02-18	7.76	A
USGS	01103025	2015-02-19	7.26	A
USGS	01103025	2015-02-20	6.30	A
USGS	01103025	2015-02-21	7.03	A
USGS	01103025	2015-02-22	6.89	A
USGS	01103025	2015-02-23	7.47	A
USGS	01103025	2015-02-24	6.79	A
USGS	01103025	2015-02-25	6.91	A
USGS	01103025	2015-02-26	6.34	A
USGS	01103025	2015-02-27	6.25	A
USGS	01103025	2015-02-28	5.94	A
USGS	01103025	2015-03-01	5.94	A
USGS	01103025	2015-03-02	6.16	A
USGS	01103025	2015-03-03	6.38	A
USGS	01103025	2015-03-04	6.59	A
USGS	01103025	2015-03-05	8.29	A
USGS	01103025	2015-03-06	7.51	A
USGS	01103025	2015-03-07	7.35	A
USGS	01103025	2015-03-08	7.33	A
USGS	01103025	2015-03-09	6.51	A
USGS	01103025	2015-03-10	7.62	A
USGS	01103025	2015-03-11	11.1	A
USGS	01103025	2015-03-12	17.9	A
USGS	01103025	2015-03-13	14.3	A
USGS	01103025	2015-03-14	15.0	A
USGS	01103025	2015-03-15	24.9	A
USGS	01103025	2015-03-16	22.3	A
USGS	01103025	2015-03-17	19.6	A
USGS	01103025	2015-03-18	20.0	A
USGS	01103025	2015-03-19	16.8	A
USGS	01103025	2015-03-20	14.6	A
USGS	01103025	2015-03-21	13.5	A
USGS	01103025	2015-03-22	13.3	A
USGS	01103025	2015-03-23	12.2	A
USGS	01103025	2015-03-24	11.9	A
USGS	01103025	2015-03-25	11.5	A
USGS	01103025	2015-03-26	17.8	A
USGS	01103025	2015-03-27	33.4	A
USGS	01103025	2015-03-28	27.0	A
USGS	01103025	2015-03-29	22.8	A
USGS	01103025	2015-03-30	20.4	A
USGS	01103025	2015-03-31	18.9	A
USGS	01103025	2015-04-01	18.3	A
USGS	01103025	2015-04-02	17.1	A
USGS	01103025	2015-04-03	17.5	A
USGS	01103025	2015-04-04	20.4	A
USGS	01103025	2015-04-05	18.0	A
USGS	01103025	2015-04-06	15.4	A
USGS	01103025	2015-04-07	15.4	A
USGS	01103025	2015-04-08	14.2	A
USGS	01103025	2015-04-09	17.2	A
USGS	01103025	2015-04-10	17.6	A
USGS	01103025	2015-04-11	16.1	A
USGS	01103025	2015-04-12	14.4	A
USGS	01103025	2015-04-13	12.9	A
USGS	01103025	2015-04-14	12.5	A
USGS	01103025	2015-04-15	12.1	A
USGS	01103025	2015-04-16	11.5	A
USGS	01103025	2015-04-17	11.2	A
