"","DateHour","LocationID","VisitID","ID","CharacteristicID","ResultValue","Units","Qualifier","FlagID","MethodID","ResultComment","SampleDepth","UniqueID","Datetime","ProjectID","SampleTypeID","HasFlow","SampleDepthType","Comment","LocationDescription","WaterBodyID","MunicipalityID","Latitude","Longitude","LocationTypeID","LocationMethod","CoordinateSystem","InWatershed","RegionalID","WaterType","Owner","StaffGage","County","CatchmentArea_Sqmi","Precip.48","Weather"
"1",2002-05-23 05:00:00,"UPLSHBM",137452,447377,"ENT",12,"CFU/100ml",NA,NA,NA,NA,NA,"200205230637_UPLSHBM_DCRBCH_S",2002-05-23 05:37:00,"DCRBCH","S",1,NA,NA,"Shannon Beach Middle","Upper Mystic Lake","Winchester",42.439892,-71.146153,13,"Unknown","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,0,"Dry"
"2",2002-05-23 05:00:00,"UPLSHBM",137452,447376,"TEMP_WATER",12.7777777777778,"deg C",NA,NA,NA,NA,NA,"200205230637_UPLSHBM_DCRBCH_S",2002-05-23 05:37:00,"DCRBCH","S",1,NA,NA,"Shannon Beach Middle","Upper Mystic Lake","Winchester",42.439892,-71.146153,13,"Unknown","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,0,"Dry"
"3",2002-05-30 08:00:00,"UPLSHBM",137453,447378,"ENT",1480,"CFU/100ml",NA,NA,NA,NA,NA,"200205300948_UPLSHBM_DCRBCH_S",2002-05-30 08:48:00,"DCRBCH","S",1,NA,NA,"Shannon Beach Middle","Upper Mystic Lake","Winchester",42.439892,-71.146153,13,"Unknown","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,0,"Dry"
"4",2002-05-30 08:00:00,"UPLSHBM",137453,447379,"TEMP_WATER",16.6666666666667,"deg C",NA,NA,NA,NA,NA,"200205300948_UPLSHBM_DCRBCH_S",2002-05-30 08:48:00,"DCRBCH","S",1,NA,NA,"Shannon Beach Middle","Upper Mystic Lake","Winchester",42.439892,-71.146153,13,"Unknown","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,0,"Dry"
"5",2002-06-06 05:00:00,"UPLSHBM",137454,447381,"TEMP_WATER",17.2222222222222,"deg C",NA,NA,NA,NA,NA,"200206060652_UPLSHBM_DCRBCH_S",2002-06-06 05:52:00,"DCRBCH","S",1,NA,NA,"Shannon Beach Middle","Upper Mystic Lake","Winchester",42.439892,-71.146153,13,"Unknown","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,0.46,"Wet"
"6",2002-06-06 05:00:00,"UPLSHBM",137454,447380,"ENT",34,"CFU/100ml",NA,NA,NA,NA,NA,"200206060652_UPLSHBM_DCRBCH_S",2002-06-06 05:52:00,"DCRBCH","S",1,NA,NA,"Shannon Beach Middle","Upper Mystic Lake","Winchester",42.439892,-71.146153,13,"Unknown","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,0.46,"Wet"
"7",2002-06-13 09:00:00,"UPLSHBM",137455,447383,"TEMP_WATER",16.1111111111111,"deg C",NA,NA,NA,NA,NA,"200206131005_UPLSHBM_DCRBCH_S",2002-06-13 09:05:00,"DCRBCH","S",1,NA,NA,"Shannon Beach Middle","Upper Mystic Lake","Winchester",42.439892,-71.146153,13,"Unknown","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,0.4,"Wet"
"8",2002-06-13 09:00:00,"UPLSHBM",137455,447382,"ENT",56,"CFU/100ml",NA,NA,NA,NA,NA,"200206131005_UPLSHBM_DCRBCH_S",2002-06-13 09:05:00,"DCRBCH","S",1,NA,NA,"Shannon Beach Middle","Upper Mystic Lake","Winchester",42.439892,-71.146153,13,"Unknown","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,0.4,"Wet"
"9",2002-06-20 08:00:00,"UPLSHBM",137456,447386,"TEMP_WATER",21.6666666666667,"deg C",NA,NA,NA,NA,NA,"200206200950_UPLSHBM_DCRBCH_S",2002-06-20 08:50:00,"DCRBCH","S",1,NA,NA,"Shannon Beach Middle","Upper Mystic Lake","Winchester",42.439892,-71.146153,13,"Unknown","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,0.03,"Dry"
"10",2002-06-20 08:00:00,"UPLSHBM",137456,447384,"ENT",6,"CFU/100ml",NA,NA,NA,NA,NA,"200206200950_UPLSHBM_DCRBCH_S",2002-06-20 08:50:00,"DCRBCH","S",1,NA,NA,"Shannon Beach Middle","Upper Mystic Lake","Winchester",42.439892,-71.146153,13,"Unknown","WGS84",1,"Upper Mystic River","Fresh",NA,0,"Middlesex",NA,0.03,"Dry"
